FID,Name,LH_MED,LH_1693,LH_1753,LH_1831,REACH_1831,LH_1851,REACH_1851,LH_1911,REACH_1911,Height,YearBuilt,POINT_X,POINT_Y
506,SwanseaWestPier,0,0,0,1,3,1,9,1,7,28,1803,266577.16,191543.43
507,SwanseaEastBreakWater,0,0,0,0,0,0,0,1,0,0,1909,266452.70,191760.46
508,OldEastPier,0,0,0,0,0,0,0,1,0,0,0,266701.18,191833.13
509,NeathTrainingWall,0,0,0,0,0,0,0,2,0,0,0,271782.26,192637.21
510,NeathEmbarkment,0,0,0,0,0,0,0,1,0,0,0,270973.12,191681.66
511,BritonFerryBasin,0,0,0,0,0,0,0,1,0,0,0,273608.82,193774.74
512,BritonFerryDock,0,0,0,0,0,0,0,1,0,0,0,273210.91,193552.22
513,PortTalbot,0,0,0,0,0,0,0,4,9,0,1895,274763.97,188665.36
514,ScarWeather_LV,0,0,0,0,0,0,0,1,11,0,1862,265673.81,174162.03
515,Porthcawl,0,0,0,0,0,0,0,1,7,0,1866,281968.28,176323.23
516,Nash,0,0,0,0,0,2,18,2,19,0,1832,292038.32,168064.92
517,Breaksea_LV,0,0,0,0,0,0,0,1,11,0,1866,320946.50,171571.89
518,BarryWestBreakWater,0,0,0,0,0,0,0,1,0,0,1890,312431.50,166593.90
519,BarryEastBreakWater,0,0,0,0,0,0,0,1,0,0,1890,312546.40,166667.68
520,LadyWindsor_Lock,0,0,0,0,0,0,0,1,0,0,0,312263.84,166916.23
521,BarryDockBasinEntrance,0,0,0,0,0,0,0,1,0,0,0,312300.90,167023.82
522,YorkRockBreakwater,0,0,0,0,0,0,0,1,0,0,1895,310540.47,166461.66
523,Monkstone,0,0,0,0,0,0,0,1,6,0,1859,323512.82,169074.79
524,ButeWestDockBasin,0,0,0,0,0,0,0,1,0,0,1866,319058.27,174741.69
525,ChannelGravingDock,0,0,0,0,0,0,0,1,0,0,1908,319355.80,173986.30
526,CardiffLowWaterPier,0,0,0,0,0,1,10,1,10,0,1821,319147.18,173507.78
527,QueenAlexandraDock,0,0,0,0,0,0,0,1,10,0,1898,319374.74,173497.83
528,Penarth,0,0,0,0,0,0,0,1,3,0,1894,319013.00,171349.80
529,WestUsk,0,0,0,0,0,0,0,1,12,0,1821,331024.33,182933.15
530,Usk,0,0,0,1,10,0,0,1,0,39,1821,332188.91,181820.59
531,EastUsk,0,0,0,0,0,0,0,1,11,0,1893,334601.95,182421.31
532,Fifootspoint,0,0,0,0,0,0,0,1,4,0,1894,332909.15,184278.44
533,PowderMagazinePoint,0,0,0,0,0,0,0,1,4,0,1894,332736.35,184794.57
534,AlexandraDock,0,0,0,0,0,0,0,1,0,0,0,332214.71,185270.87
535,EnglishWelshGrounds_LV,0,0,0,0,0,1,10,1,11,0,1838,329986.44,170950.54
536,NewPassage,0,0,0,0,0,0,0,1,0,0,1868,350902.19,179684.86
537,RoyalEdwardDock,0,0,0,0,0,0,0,4,12,0,1907,350595.22,178730.19
538,Avon,0,0,0,0,0,1,13,0,0,0,1840,350441.60,178792.18
539,AvonRriver,0,0,0,0,0,0,0,2,0,0,1880,349411.09,178491.39
540,DumballIsland,0,0,0,0,0,0,0,2,12,0,1897,350417.70,178959.46
541,Avon7,0,0,0,0,0,0,0,1,0,0,1903,350678.57,177700.11
542,AvonPill,0,0,0,0,0,0,0,1,0,0,1903,352527.82,176135.10
543,AvonHungRoad,0,0,0,0,0,0,0,1,0,0,1903,353193.31,175930.53
544,AvonChapelPill,0,0,0,0,0,0,0,1,0,0,1903,353603.36,176203.91
545,AvonHorseshoe,0,0,0,0,0,0,0,1,0,0,1903,353848.46,176791.21
546,AvonHorseshoe2,0,0,0,0,0,0,0,1,0,0,1903,354118.92,176779.42
547,AvonSeamillsNorth,0,0,0,0,0,0,0,1,0,0,1903,354568.18,176287.84
548,AvonSeamills,0,0,0,0,0,0,0,1,0,0,1903,354826.86,175893.40
549,Avon12,0,0,0,0,0,0,0,1,0,0,1905,354804.07,175227.68
550,Avon19,0,0,0,0,0,0,0,1,0,0,1903,355231.57,175010.82
551,LeighWood,0,0,0,0,0,0,0,1,0,0,1903,356217.71,173271.37
552,Avon20,0,0,0,0,0,0,0,1,0,0,1903,356047.44,174552.52
553,Portishead,0,0,0,0,0,0,0,1,0,0,0,347632.87,177643.84
554,Blacknore,0,0,0,0,0,0,0,1,11,0,1894,344476.26,176553.77
555,Clevedon,0,0,0,0,0,0,0,1,7,0,1869,339871.48,172050.39
556,WestonSuperMare,0,0,0,0,0,0,0,1,0,0,1903,331277.66,161477.52
557,Burnham,0,0,0,1,0,2,16,2,15,0,1815,329806.01,150444.37
558,WatchetHabour,0,0,0,0,0,0,0,1,10,0,1903,307152.13,143667.47
559,Minehead,1,0,0,0,0,0,0,2,4,0,0,297152.73,147133.03
560,LynemouthForeland,0,0,0,0,0,0,0,1,21,0,1900,275309.79,151157.68
561,BullPoint,0,0,0,0,0,0,0,2,18,0,1879,246229.82,146791.00
562,Bideford,0,0,0,2,14,2,14,3,14,300,1820,245555.18,132717.78
563,Lundy,0,0,0,2,30,2,30,1,19,542,1820,212993.44,148189.95
564,LundySouth,0,0,0,0,0,0,0,1,20,0,1897,214325.92,143719.48
565,Clovelly,0,0,0,0,0,0,0,1,0,0,0,231802.63,124947.78
566,HartlandPoint,1,0,0,0,0,0,0,1,17,0,1874,222914.33,127828.79
567,Padstow,0,0,0,0,0,0,0,2,0,0,1868,193073.86,75728.97
568,Trevose,0,0,0,0,0,2,19,1,20,0,1847,185006.88,76623.07
569,Portreath,0,0,0,0,0,0,0,1,0,0,0,165428.85,45537.18
570,Godrevy,0,0,0,0,0,0,0,2,17,0,1859,157591.70,43647.99
571,Hayle,0,0,0,0,0,2,6,2,6,0,1840,154829.50,37997.99
572,StIvesInnerPier,1,0,0,0,0,1,7,1,0,0,1831,151832.66,40638.50
573,StIvesWestPier,0,0,0,0,0,0,0,1,0,0,1894,151983.42,40686.37
574,Pendeen,0,0,0,0,0,0,0,1,20,0,1900,137829.81,35960.20
575,Blakeney,1,0,0,0,0,0,0,0,0,0,0,603163.14,343630.11
576,GreatYarmouth,1,0,0,0,0,0,0,0,0,0,0,652315.54,308079.27
577,StMargaretsBay,1,0,0,0,0,0,0,0,0,0,0,636648.16,144300.28
578,Dover,1,0,0,0,0,0,0,0,0,0,0,632478.45,141907.00
579,Winchelsea,1,0,0,0,0,0,0,0,0,0,0,590382.80,117413.48
580,Fairlight,1,0,0,0,0,0,0,0,0,0,0,587555.78,111720.59
581,StAdhelms,1,0,0,0,0,0,0,0,0,0,0,367137.09,81242.04
582,Dartmouth,1,0,0,0,0,0,0,0,0,0,0,287671.52,51393.58
583,StCatherinesPlymouth,1,0,0,0,0,0,0,0,0,0,0,247629.26,54272.85
584,StNicholasPlymouth,1,0,0,0,0,0,0,0,0,0,0,246998.54,54921.69
585,ChapelAnjou,1,0,0,0,0,0,0,0,0,0,0,152373.33,39955.44
586,StMichaelsMount,1,0,0,0,0,0,0,0,0,0,0,151381.34,29909.15
587,ChapelCarnBrea,1,0,0,0,0,0,0,0,0,0,0,138536.87,28155.62
